,id,name,screen_name,description,statuses_count,friends_count,followers_count,account_age_days,avg_daily_tweets,hashtags,user_mentions,favorite_count,retweet_count
0,23519852,CAMFED - Campaign for Female Education,Camfed,"We catalyze the power of the most vulnerable girls and young women to create the future they imagine — for themselves, for their communities, and for Africa.",15678,25604,183472,4147,3,67,155,2805,13000
0,989743159994298369,Andrew H,BBCAndrewH,Weather Reporter,6,0,7,812,0,1,0,0,0
0,21225422,Euphonik™♛,euphonik,LIFE | MUSIC | PROPERTY | BRANDS | CULTURE Contact: hello@euphonik.dj / +27797993736,4518,65,1754271,4166,1,97,291,69762,9433
0,81305054,Ulrich Janse van Vuuren,UlrichJvV,"Insta: ulrichjvv. Humanitarian | Campaigner 
          * Digital * Media * Africa * Anthropology *
           😊People 🌍Planet ❤One love",19984,530397,1042512,3933,5,31,183,34614,18911
0,45847467,Cricket South Africa,OfficialCSA,The official Cricket South Africa Twitter profile. CSA are the custodians of cricket in South Africa.,88484,1999,1159685,4055,21,91,173,14649,6833
0,25959730,MTV Base Africa,MTVBaseAfrica,Uniting Africa through music & taking African music to the world! Follow @MTVBaseSouth @MTVBaseEast @MTVNewsISH @MTVBaseWest @MTVBaseFranco,56029,109,1415583,4134,13,36,52,2296,21406
0,104231030,Computicket,Computicket,Computicket - The Ticket You Can Trust,45114,1223,200287,3838,11,10,105,96,415
0,33892790,Loyiso Gola,loyisogola,2 time Emmy nominated stand up comedian from South Africa.      info@loyisogola.com,5660,3949,1085159,4105,1,21,150,6220,560131
0,16839878,5FM,5FM,"Using the power of music to bring youthful South Africans together! Live Loud with us on radio, web, DSTV 805 or our mobile app. WhatsApp: 0825505151",62823,411,1164198,4289,14,250,833,12823,1989
0,16735210,Mail & Guardian,mailandguardian,"News, comment and analysis from Africa's best read. Retweet not endorsement. Need reliable info on Covid-19? https://t.co/Cyj52wvMy1",144234,478,1060022,4294,33,111,849,6168,16792
0,20521828,Helen Zille,helenzille,"GodZille, GranZille, ex-Premier, ex-Mayor of Cape Town, Liberal, Author #NotWithoutAFight. Re-Tweets and Likes are NOT necessarily endorsements.",72335,2304,1443220,4174,17,4,278,13370,9890
0,117102398,Julius Sello Malema,Julius_S_Malema,Commander in Chief of Economic Freedom Fighters [EFF] and a Revolutionary activist for radical change in Africa. No Facebook Account. fools get blocked,37192,652,3126246,3795,9,64,524,177856,286707
0,14697575,News24,News24,South Africa's premier online news resource. Follow @TeamNews24 for all the action from our journalists 🇿🇦 SA's most trusted news source - Reuters Institute,322655,631,3575424,4453,72,227,1022,204918,89815
0,1102508781781557248,jdwtweet,SAPresident,,19,14,18,501,0,0,1,0,38
0,17962204,Gareth Cliff,GarethCliff,President of https://t.co/scMZ7lsVKF ⚜. Enquiries: contact@cliffcentral.com,31624,357,1974477,4239,7,40,161,3325,2253
0,46335511,Trevor Noah,Trevornoah,"Comedian from South Africa. I was in the crowd when Rafiki held Simba over the edge of the cliff, like an African Michael Jackson.",11185,325,10803194,4054,2,0,13,136346,592755
